config_name,family,sample_count,terminal_capital,total_return,max_drawdown,return_drawdown_ratio,win_rate,avg_trade_return,median_trade_return,avg_hold_trading_days,median_hold_trading_days,avg_post_anchor_return_contribution,median_post_anchor_return_contribution,fail_rebound_exit_count,max_hold_exit_count,drawdown,ma_window,profit_trigger,giveback_ratio
hwm_dd_0.015,high_watermark_drawdown,60,2098020.5404145448,1.0980205404145447,-0.14271275123632376,7.693920346306606,0.6166666666666667,0.012714322707048637,0.008095905026359318,23.433333333333334,23.0,-0.0006693166259254869,-0.0004089095367150186,18,1,0.015,,,
profit_0.050_giveback_0.50,staged_profit_giveback,42,1984199.672839333,0.984199672839333,-0.1318892047337089,7.462321687559514,0.6904761904761905,0.01693940161275152,0.010305288835053439,40.54761904761905,52.0,0.0020104254530050702,-0.0014987565521010215,11,19,,,0.05,0.5
profit_0.080_giveback_0.50,staged_profit_giveback,41,1960909.4233516473,0.9609094233516473,-0.13188920473370913,7.285732181733685,0.6585365853658537,0.01707297200090159,0.009467079286496372,42.146341463414636,61.0,0.002647565260712575,0.0008421111525150904,12,23,,,0.08,0.5
profit_0.030_giveback_0.50,staged_profit_giveback,45,1903691.7484201405,0.9036917484201406,-0.13188920473370913,6.851900807535682,0.7111111111111111,0.01472282077096413,0.007192260807632911,33.93333333333333,30.0,3.2839640033036385e-05,-0.0015238353184290343,13,13,,,0.03,0.5
hwm_dd_0.010,high_watermark_drawdown,60,1960571.38948047,0.9605713894804699,-0.14271275123632388,6.730802827070585,0.6166666666666667,0.01152437364030843,0.005090879019200611,19.65,20.5,-0.0015995708468141369,-0.0022820483969621663,17,0,0.01,,,
hwm_dd_0.020,high_watermark_drawdown,55,1913938.0179858631,0.9139380179858632,-0.14271275123632376,6.404038952850377,0.6727272727272727,0.012147484571099794,0.0049169045183756754,25.545454545454547,24.0,-0.002162770595427437,-0.003181189743661439,16,3,0.02,,,
ma5_trend,ma_trend,62,1848407.3326742298,0.8484073326742299,-0.14271275123632376,5.944860044561247,0.6612903225806451,0.010160589065650701,0.004835564310804785,15.370967741935484,17.0,-0.0028666919753024904,-0.0012036494234139127,17,0,,5.0,,
hwm_dd_0.030,high_watermark_drawdown,49,1864588.4257666399,0.8645884257666399,-0.14543746460863194,5.944743523226443,0.5918367346938775,0.013180323322340483,0.005959145311323355,31.224489795918366,29.0,-0.0018374982925463588,-0.006111098822251804,14,11,0.03,,,
ma10_trend,ma_trend,62,1863998.8475226471,0.8639988475226472,-0.1466683674647299,5.890832920946076,0.6451612903225806,0.010306838939062753,0.003514331912906621,16.5,17.0,-0.0027309062156174535,-0.002060246916063213,17,0,,10.0,,
profit_0.080_giveback_0.30,staged_profit_giveback,40,1891023.258418633,0.8910232584186328,-0.1603537284142018,5.556610795584837,0.65,0.016549160134861567,0.014495656017914249,41.025,61.0,0.0013511648913554551,-0.0008971160817577428,11,22,,,0.08,0.3
profit_0.050_giveback_0.30,staged_profit_giveback,41,1861247.0637095764,0.8612470637095764,-0.1603537284142017,5.370920104114649,0.6585365853658537,0.01577357427567349,0.015456603356143739,39.146341463414636,47.0,0.00038067289811210815,-0.0015598295395072848,10,18,,,0.05,0.3
profit_0.030_giveback_0.30,staged_profit_giveback,49,1857719.4273825584,0.8577194273825584,-0.1603537284142016,5.348921012718998,0.6938775510204082,0.012976055555544885,0.010752689370565949,29.142857142857142,24.0,-4.698996982529799e-05,-0.0015238353184290343,15,7,,,0.03,0.3
ma20_trend,ma_trend,59,1678884.3641365226,0.6788843641365225,-0.1603537284142018,4.233667472844347,0.6271186440677966,0.009003116933733131,0.002489610984639734,18.06779661016949,17.0,-0.0031190197445354426,-0.0030453048830790808,18,0,,20.0,,
