"feature_name","group_name","bin_label","min_inclusive","max_exclusive","woe","logit_contribution","points"
"weekly_spot_return_min","W","bin_1",,"-0.01355404172574659","0.19984390748615705","-0.3727160583894331","-37.27160583894331"
"weekly_spot_return_min","W","bin_2","-0.01355404172574659","-0.005686545146802446","-0.08362052902142034","0.15595528715060714","15.595528715060713"
"weekly_spot_return_min","W","bin_3","-0.005686545146802446",,"-0.11392587851674935","0.21247585139545724","21.247585139545723"
"weekly_spot_return_p10","W","bin_1",,"-0.010408456122191401","0.318368845077993","0.6630995106268659","66.3099510626866"
"weekly_spot_return_p10","W","bin_2","-0.010408456122191401","-0.0038970604724203987","-0.19398349654179747","-0.40402936284498175","-40.402936284498175"
"weekly_spot_return_p10","W","bin_3","-0.0038970604724203987",,"-0.11392587851674935","-0.2372851347112362","-23.72851347112362"
"weekly_spot_return_p25","W","bin_1",,"-0.0066384963731930535","0.19984390748615705","0.1003731734021051","10.03731734021051"
"weekly_spot_return_p25","W","bin_2","-0.0066384963731930535","-0.0014058119444991524","-0.30368241379822203","-0.15252687941687787","-15.252687941687787"
"weekly_spot_return_p25","W","bin_3","-0.0014058119444991524",,"0.10741651202819849","0.05395078751050998","5.395078751050998"
"weekly_spot_return_p50","W","bin_1",,"-0.0019818880543167605","0.08468826095064214","-0.009871205805377762","-0.9871205805377762"
"weekly_spot_return_p50","W","bin_2","-0.0019818880543167605","0.0027878100342000334","-0.08362052902142034","0.009746751701585689","0.9746751701585689"
"weekly_spot_return_p50","W","bin_3","0.0027878100342000334",,"-0.0041658836994381615","0.00048557255630021014","0.048557255630021015"
"weekly_spot_return_p75","W","bin_1",,"0.002989815478634833","-0.027976532393156728","-0.0016557938107746987","-0.16557938107746986"
"weekly_spot_return_p75","W","bin_2","0.002989815478634833","0.007618705370434464","-0.19398349654179747","-0.011480932248948429","-1.1480932248948428"
"weekly_spot_return_p75","W","bin_3","0.007618705370434464",,"0.221583894122563","0.013114464483998802","1.3114464483998802"
"weekly_spot_return_p90","W","bin_1",,"0.00605251199396604","0.08468826095064214","0.11341759009512395","11.341759009512394"
"weekly_spot_return_p90","W","bin_2","0.00605251199396604","0.011510787818257495","-0.19398349654179747","-0.25978973294562213","-25.978973294562213"
"weekly_spot_return_p90","W","bin_3","0.011510787818257495",,"0.10741651202819849","0.14385608812728598","14.385608812728599"
"weekly_spot_return_max","W","bin_1",,"0.00720304347903844","-0.08362052902142034","-0.1347038979210097","-13.47038979210097"
"weekly_spot_return_max","W","bin_2","0.00720304347903844","0.014112782405465207","0.08468826095064214","0.13642390202148666","13.642390202148666"
"weekly_spot_return_max","W","bin_3","0.014112782405465207",,"-0.0041658836994381615","-0.006710801512104386","-0.6710801512104386"
"weekly_spot_close_position","W","bin_1",,"0.37939172749391503","-0.18449389653310372","-0.07058685259898166","-7.058685259898166"
"weekly_spot_close_position","W","bin_2","0.37939172749391503","0.6657210116496772","0.16168083589101132","0.06185863893373409","6.185863893373409"
"weekly_spot_close_position","W","bin_3","0.6657210116496772",,"0.09765897712608035","0.03736405351560812","3.736405351560812"
"weekly_spot_drawdown","W","bin_1",,"0.01670562086509575","-0.19398349654179747","-0.06793813838660374","-6.793813838660374"
"weekly_spot_drawdown","W","bin_2","0.01670562086509575","0.025690138926465322","0.258625165802912","0.09057735641336205","9.057735641336205"
"weekly_spot_drawdown","W","bin_3","0.025690138926465322",,"-0.05922907589726138","-0.02074358502941909","-2.074358502941909"
"weekly_spot_rebound","W","bin_1",,"0.37939172749391503","-0.18449389653310372","-0.07058685259898166","-7.058685259898166"
"weekly_spot_rebound","W","bin_2","0.37939172749391503","0.6657210116496772","0.16168083589101132","0.06185863893373409","6.185863893373409"
"weekly_spot_rebound","W","bin_3","0.6657210116496772",,"0.09765897712608035","0.03736405351560812","3.736405351560812"
"weekly_volume_ratio_4w","V","bin_1",,"0.9171361824927855","-0.35849065029321703","-0.12109970811994558","-12.109970811994557"
"weekly_volume_ratio_4w","V","bin_2","0.9171361824927855","1.0840941854877464","-0.027976532393156728","-0.009450594887895701","-0.9450594887895701"
"weekly_volume_ratio_4w","V","bin_3","1.0840941854877464",,"0.3996171382257412","0.13499241544872406","13.499241544872406"
"weekly_volume_ratio_13w","V","bin_1",,"0.9285714285714285","-0.08362052902142034","0.05550158383478952","5.550158383478952"
"weekly_volume_ratio_13w","V","bin_2","0.9285714285714285","1.097586112497786","-0.19398349654179747","0.128752967983762","12.875296798376201"
"weekly_volume_ratio_13w","V","bin_3","1.097586112497786",,"0.2799025642501969","-0.18578016447761755","-18.578016447761755"
"weekly_volume_ratio_26w","V","bin_1",,"0.952750777246642","-0.19398349654179747","0.06903892402806727","6.9038924028067274"
"weekly_volume_ratio_26w","V","bin_2","0.952750777246642","1.1081232675158716","-0.1389271807221667","0.049444325142600935","4.944432514260093"
"weekly_volume_ratio_26w","V","bin_3","1.1081232675158716",,"0.33920293198083507","-0.12072266903425281","-12.072266903425282"
"weekly_volume_ratio_52w","V","bin_1",,"0.96969764921329","-0.19398349654179747","-0.08604198317128971","-8.60419831712897"
"weekly_volume_ratio_52w","V","bin_2","0.96969764921329","1.1666647603143194","-0.1389271807221667","-0.06162158306676241","-6.162158306676241"
"weekly_volume_ratio_52w","V","bin_3","1.1666647603143194",,"0.33920293198083507","0.1504545153863567","15.045451538635671"
"weekly_price_position_52w","V","bin_1",,"0.5294426212791661","0.1641258248840778","0.1138775450972054","11.387754509720539"
"weekly_price_position_52w","V","bin_2","0.5294426212791661","0.7746619663641244","0.05495139462584353","0.03812763728120585","3.812763728120585"
"weekly_price_position_52w","V","bin_3","0.7746619663641244",,"-0.18449389653310372","-0.1280097878408035","-12.80097878408035"
"weekly_volume_accumulation_26w","V","bin_1",,"0.016997147892103534","-0.18191054158060574","0.008977739554486799","0.8977739554486799"
"weekly_volume_accumulation_26w","V","bin_2","0.016997147892103534","0.07410725541668688","0.3275893630436359","-0.01616735323127387","-1.616735323127387"
"weekly_volume_accumulation_26w","V","bin_3","0.07410725541668688",,"0.4526436683832549","-0.02233909552697194","-2.2339095526971944"
"weekly_volume_accumulation_52w","V","bin_1",,"0.02355603293345854","-0.20359895524123955","-0.15715053909020268","-15.715053909020268"
"weekly_volume_accumulation_52w","V","bin_2","0.02355603293345854","0.08351613182973266","0.3707726337495706","0.2861857478816626","28.618574788166264"
"weekly_volume_accumulation_52w","V","bin_3","0.08351613182973266",,"0.3707726337495706","0.2861857478816626","28.618574788166264"
"weekly_high_volume_low_price_signal","V","bin_1",,"0.0","-0.30368241379822214","-0.1350512846115352","-13.50512846115352"
"weekly_high_volume_low_price_signal","V","bin_2","0.0","1.0","-0.07266037491193252","-0.032312957637159356","-3.2312957637159356"
"weekly_high_volume_low_price_signal","V","bin_3","1.0",,"0.8663888388520326","0.38529371588111483","38.52937158811148"
"weekly_high_volume_breakout_signal","V","bin_1",,"0.0","-0.30368241379822214","-0.019886998047078018","-1.9886998047078017"
"weekly_high_volume_breakout_signal","V","bin_2","0.0","1.0","-0.011110356052249455","-0.0007275746604814423","-0.07275746604814423"
"weekly_high_volume_breakout_signal","V","bin_3","1.0",,"0.04995762644535635","0.003271533596988523","0.3271533596988523"
"weekly_up_day_volume_share","V","bin_1",,"0.3638297872340426","-0.22672137266209358","0.10708257309224835","10.708257309224836"
"weekly_up_day_volume_share","V","bin_2","0.3638297872340426","0.5352013517319065","0.07210692616382568","-0.03405675918742436","-3.405675918742436"
"weekly_up_day_volume_share","V","bin_3","0.5352013517319065",,"0.1776207707014468","-0.08389191075376372","-8.389191075376372"
"weekly_down_day_volume_share","V","bin_1",,"0.35022650056625143","0.0969400698341543","0.2003966083576131","20.03966083576131"
"weekly_down_day_volume_share","V","bin_2","0.35022650056625143","0.47254430102822137","0.18333256127405023","0.3789890346034168","37.898903460341685"
"weekly_down_day_volume_share","V","bin_3","0.47254430102822137",,"-0.30368241379822214","-0.6277788518940758","-62.77788518940758"
"weekly_volume_price_confirmation","V","bin_1",,"0.0","0.2208420543259306","0.13877202516547651","13.877202516547651"
"weekly_volume_price_confirmation","V","bin_2","0.0","1.0","-0.24259472181838387","-0.15244089692947424","-15.244089692947425"
"weekly_volume_price_confirmation","V","bin_3","1.0",,"0.49643688631389116","0.31194942598635783","31.194942598635784"
