group_type,event_type,window,group_key,sample_count,avg_future_10d_return,positive_rate,avg_max_drawdown_from_close,avg_fallback_depth
event_window_fallback,breakout_20d,1d,fallback_True,23,-0.01050213,0.391304,-0.03738022,-0.00592978
event_window_fallback,breakout_20d,1d,fallback_False,85,0.01066406,0.600000,-0.01909763,0.00000000
event_window_fallback,breakout_20d,3d,fallback_True,45,-0.00943087,0.377778,-0.03759978,-0.01149550
event_window_fallback,breakout_20d,3d,fallback_False,63,0.01729025,0.682540,-0.01255640,0.00000000
event_window_fallback,breakout_20d,5d,fallback_True,54,-0.00881469,0.370370,-0.03760296,-0.01681818
event_window_fallback,breakout_20d,5d,fallback_False,54,0.02112758,0.740741,-0.00837932,0.00000000
event_window_fallback,breakout_20d,10d,fallback_True,64,-0.00909349,0.328125,-0.03565335,-0.02371464
event_window_fallback,breakout_20d,10d,fallback_False,44,0.02833817,0.886364,-0.00457338,0.00000000
event_window_fallback,breakout_60d,1d,fallback_True,9,-0.03026493,0.222222,-0.05426730,-0.00655740
event_window_fallback,breakout_60d,1d,fallback_False,58,0.00927147,0.568966,-0.01786994,0.00000000
event_window_fallback,breakout_60d,3d,fallback_True,20,-0.01517193,0.250000,-0.04291634,-0.00994785
event_window_fallback,breakout_60d,3d,fallback_False,47,0.01210212,0.638298,-0.01418161,0.00000000
event_window_fallback,breakout_60d,5d,fallback_True,26,-0.01606149,0.230769,-0.04506278,-0.01710809
event_window_fallback,breakout_60d,5d,fallback_False,41,0.01665756,0.707317,-0.00861537,0.00000000
event_window_fallback,breakout_60d,10d,fallback_True,34,-0.01483211,0.205882,-0.03906223,-0.02667160
event_window_fallback,breakout_60d,10d,fallback_False,33,0.02332281,0.848485,-0.00596202,0.00000000
fallback_label,all_breakouts,10d,failed_breakout_not_reclaimed,22,-0.04171046,0.000000,-0.06180388,-0.05035214
fallback_label,all_breakouts,10d,healthy_pullback_reclaimed,22,0.02352983,1.000000,-0.02463025,-0.01445741
fallback_label,all_breakouts,10d,strong_breakout_no_3d_fallback,110,0.01507350,0.663636,-0.01325081,-0.00510456
fallback_label,all_breakouts,10d,weak_breakout_negative_10d,21,-0.01561209,0.000000,-0.03089362,-0.02082187
fallback_label_x_volume,all_breakouts,10d,failed_breakout_not_reclaimed|extreme_high,1,-0.05287938,0.000000,-0.05542793,-0.04689236
fallback_label_x_volume,all_breakouts,10d,failed_breakout_not_reclaimed|high,2,-0.04542320,0.000000,-0.05524867,-0.04305482
fallback_label_x_volume,all_breakouts,10d,failed_breakout_not_reclaimed|mild_high,6,-0.01793124,0.000000,-0.04128421,-0.03170544
fallback_label_x_volume,all_breakouts,10d,failed_breakout_not_reclaimed|normal_or_low,13,-0.05125515,0.000000,-0.07277345,-0.06034711
fallback_label_x_volume,all_breakouts,10d,healthy_pullback_reclaimed|high,6,0.02293753,1.000000,-0.03700108,-0.02936685
fallback_label_x_volume,all_breakouts,10d,healthy_pullback_reclaimed|mild_high,6,0.02696399,1.000000,-0.01995729,-0.00750722
fallback_label_x_volume,all_breakouts,10d,healthy_pullback_reclaimed|normal_or_low,10,0.02182471,1.000000,-0.02001152,-0.00968185
fallback_label_x_volume,all_breakouts,10d,strong_breakout_no_3d_fallback|extreme_high,12,0.00869855,0.500000,-0.01095810,-0.00282729
fallback_label_x_volume,all_breakouts,10d,strong_breakout_no_3d_fallback|high,40,0.01735000,0.700000,-0.01612214,-0.00608668
fallback_label_x_volume,all_breakouts,10d,strong_breakout_no_3d_fallback|mild_high,14,0.01041367,0.642857,-0.01149067,-0.00401480
fallback_label_x_volume,all_breakouts,10d,strong_breakout_no_3d_fallback|normal_or_low,44,0.01622526,0.681818,-0.01182583,-0.00517954
fallback_label_x_volume,all_breakouts,10d,weak_breakout_negative_10d|high,7,-0.01791892,0.000000,-0.03350898,-0.01985854
fallback_label_x_volume,all_breakouts,10d,weak_breakout_negative_10d|mild_high,4,-0.03497709,0.000000,-0.04691358,-0.03691898
fallback_label_x_volume,all_breakouts,10d,weak_breakout_negative_10d|normal_or_low,10,-0.00625131,0.000000,-0.02265489,-0.01505737
