metric,threshold_count_ge,sample_count,future_10d_negative_rate,avg_future_10d_return,avg_10d_drawdown,support_hold_positive_rate_10d
volume_down_count,0,278,0.359712,0.00942706,-0.03147713,0.640288
volume_down_count,1,263,0.368821,0.00936678,-0.03229076,0.631179
volume_down_count,2,247,0.376518,0.00912017,-0.03269297,0.623482
volume_down_count,3,236,0.377119,0.00913214,-0.03327405,0.622881
volume_down_count,4,218,0.385321,0.00868420,-0.03423873,0.614679
volume_down_count,5,205,0.395122,0.00797907,-0.03513307,0.604878
volume_down_count,6,194,0.391753,0.00865618,-0.03515090,0.608247
volume_down_count,7,180,0.400000,0.00783398,-0.03700225,0.600000
volume_down_count,8,168,0.375000,0.00887264,-0.03759040,0.625000
volume_down_count,9,153,0.379085,0.00938289,-0.03878738,0.620915
volume_down_count,10,137,0.408759,0.00669423,-0.04202129,0.591241
volume_down_count,11,122,0.418033,0.00501085,-0.04402254,0.581967
volume_down_count,12,111,0.405405,0.00501233,-0.04499977,0.594595
volume_down_count,13,107,0.401869,0.00528012,-0.04563533,0.598131
volume_down_count,14,92,0.358696,0.00936076,-0.04302437,0.641304
volume_down_count,15,85,0.364706,0.00957489,-0.04286097,0.635294
volume_down_count,16,81,0.370370,0.00974014,-0.04376444,0.629630
volume_down_count,17,70,0.385714,0.00511173,-0.04915971,0.614286
volume_down_count,18,65,0.384615,0.00377753,-0.04841826,0.615385
volume_down_count,19,57,0.403509,0.00333630,-0.05159866,0.596491
volume_down_count,20,46,0.434783,0.00075762,-0.05734120,0.565217
volume_down_count,21,40,0.500000,-0.00414061,-0.06522060,0.500000
volume_down_count,22,36,0.472222,-0.00379857,-0.06659146,0.527778
volume_down_count,23,29,0.482759,-0.00991519,-0.08167677,0.517241
volume_down_count,24,29,0.482759,-0.00991519,-0.08167677,0.517241
volume_down_count,25,20,0.350000,-0.00265667,-0.08212768,0.650000
volume_down_count,26,16,0.250000,0.02628652,-0.06290667,0.750000
volume_down_count,27,11,0.363636,0.01382437,-0.05085051,0.636364
volume_down_count,28,11,0.363636,0.01382437,-0.05085051,0.636364
breakdown20_volume_count,0,278,0.359712,0.00942706,-0.03147713,0.640288
breakdown20_volume_count,1,207,0.362319,0.00932295,-0.03447752,0.637681
breakdown20_volume_count,2,159,0.364780,0.01012366,-0.03724639,0.635220
breakdown20_volume_count,3,129,0.348837,0.01268101,-0.03758085,0.651163
breakdown20_volume_count,4,104,0.375000,0.01082625,-0.04334877,0.625000
breakdown20_volume_count,5,86,0.360465,0.00980010,-0.04545973,0.639535
breakdown20_volume_count,6,68,0.352941,0.00897704,-0.05008465,0.647059
breakdown20_volume_count,7,61,0.344262,0.00903374,-0.05213400,0.655738
breakdown20_volume_count,8,48,0.395833,0.00223894,-0.05919440,0.604167
breakdown20_volume_count,9,38,0.368421,0.00060000,-0.06161906,0.631579
breakdown20_volume_count,10,33,0.333333,0.00345030,-0.05956921,0.666667
breakdown20_volume_count,11,32,0.312500,0.00390871,-0.05921793,0.687500
breakdown20_volume_count,12,25,0.280000,0.02419055,-0.04624314,0.720000
breakdown20_volume_count,13,20,0.100000,0.04851380,-0.03145639,0.900000
breakdown20_volume_count,14,17,0.000000,0.05805532,-0.02690697,1.000000
breakdown20_volume_count,15,12,0.000000,0.06477332,-0.03648832,1.000000
breakdown20_volume_count,16,12,0.000000,0.06477332,-0.03648832,1.000000
breakdown20_volume_count,17,12,0.000000,0.06477332,-0.03648832,1.000000
breakdown60_volume_count,0,278,0.359712,0.00942706,-0.03147713,0.640288
breakdown60_volume_count,1,158,0.373418,0.00871360,-0.03829869,0.626582
breakdown60_volume_count,2,109,0.394495,0.00962108,-0.04348212,0.605505
breakdown60_volume_count,3,73,0.383562,0.01320677,-0.04416623,0.616438
breakdown60_volume_count,4,57,0.438596,0.01120902,-0.05294757,0.561404
breakdown60_volume_count,5,45,0.400000,0.00987584,-0.05691785,0.600000
breakdown60_volume_count,6,33,0.363636,0.00531652,-0.06564639,0.636364
breakdown60_volume_count,7,31,0.387097,0.00377931,-0.06875741,0.612903
breakdown60_volume_count,8,23,0.304348,0.00416367,-0.07074354,0.695652
breakdown60_volume_count,9,19,0.315789,-0.01459608,-0.08491339,0.684211
breakdown60_volume_count,10,15,0.200000,0.00063419,-0.07441124,0.800000
breakdown60_volume_count,11,15,0.200000,0.00063419,-0.07441124,0.800000
low_volume_pullback_count,0,278,0.359712,0.00942706,-0.03147713,0.640288
low_volume_pullback_count,1,165,0.333333,0.00833141,-0.02994787,0.666667
low_volume_pullback_count,2,103,0.330097,0.01069324,-0.02289046,0.669903
low_volume_pullback_count,3,65,0.261538,0.01039225,-0.02284600,0.738462
low_volume_pullback_count,4,41,0.243902,0.00980245,-0.02211725,0.756098
low_volume_pullback_count,5,25,0.200000,0.01072491,-0.01803228,0.800000
low_volume_pullback_count,6,13,0.230769,-0.00109865,-0.02396881,0.769231
low_volume_pullback_count,7,12,0.250000,-0.00199588,-0.02424530,0.750000
