variant,year,strategy_return,buyhold_return,avg_position,strategy_capital_end,buyhold_capital_end,gap_end,gap_increase_this_year
V3_regime_balanced,2016,0.02405171,0.09605135,0.10099380,10240517.09,10960513.49,719996.39,719996.39
V3_regime_balanced,2017,0.12879826,0.19098566,0.33677737,11559477.89,13053814.34,1494336.45,774340.05
V3_regime_balanced,2018,-0.01147633,-0.12080726,0.63829952,11426817.50,11476818.81,50001.32,-1444335.13
V3_regime_balanced,2019,0.06665014,0.18195811,0.52624277,12188416.47,13565119.06,1376702.59,1326701.27
V3_regime_balanced,2020,0.01775765,0.16010533,0.50363611,12404854.04,15736966.90,3332112.86,1955410.27
V3_regime_balanced,2021,-0.00271147,0.04910118,0.58165591,12371218.64,16509670.48,4138451.85,806338.98
V3_regime_balanced,2022,-0.04296604,-0.09368012,0.22933161,11839676.34,14963042.57,3123366.23,-1015085.62
V3_regime_balanced,2023,0.17535393,0.28242242,0.75503956,13915810.12,19188941.29,5273131.17,2149764.94
V3_regime_balanced,2024,0.10134053,0.19215677,0.52516229,15326045.70,22876226.27,7550180.56,2277049.39
V3_regime_balanced,2025,0.22439428,0.26181381,0.55637321,18765122.69,28865538.30,10100415.61,2550235.05
V3_regime_balanced,2026,0.11025177,0.18626929,0.56087116,20834010.71,34242301.59,13408290.88,3307875.27
V5_etf_anchor,2016,0.00000000,0.09605135,0.00000000,10000000.00,10960513.49,960513.49,960513.49
V5_etf_anchor,2017,0.11153659,0.19098566,0.26360570,11115365.90,13053814.34,1938448.43,977934.95
V5_etf_anchor,2018,-0.07578508,-0.12080726,0.78408958,10272987.03,11476818.81,1203831.79,-734616.64
V5_etf_anchor,2019,0.07282033,0.18195811,0.59119688,11021069.33,13565119.06,2544049.73,1340217.95
V5_etf_anchor,2020,-0.05318551,0.16010533,0.55367878,10434908.16,15736966.90,5302058.74,2758009.01
V5_etf_anchor,2021,0.03836292,0.04910118,0.90014161,10835221.67,16509670.48,5674448.82,372390.08
V5_etf_anchor,2022,-0.02591936,-0.09368012,0.18525857,10554379.67,14963042.57,4408662.90,-1265785.91
V5_etf_anchor,2023,0.20069932,0.28242242,0.82843919,12672636.44,19188941.29,6516304.85,2107641.94
V5_etf_anchor,2024,0.14765229,0.19215677,0.83464476,14543780.29,22876226.27,8332445.98,1816141.13
V5_etf_anchor,2025,0.21699002,0.26181381,0.62266883,17699635.45,28865538.30,11165902.86,2833456.88
V5_etf_anchor,2026,0.18626929,0.18626929,1.00000000,20996533.95,34242301.59,13245767.64,2079864.78
V2_trend_holding,2016,0.03720076,0.09605135,0.19052461,10372007.58,10960513.49,588505.91,588505.91
V2_trend_holding,2017,0.15464814,0.19098566,0.67479390,11976019.23,13053814.34,1077795.10,489289.20
V2_trend_holding,2018,-0.01818977,-0.12080726,0.62197101,11758178.20,11476818.81,-281359.39,-1359154.49
V2_trend_holding,2019,0.07726289,0.18195811,0.63730996,12666649.06,13565119.06,898470.00,1179829.39
V2_trend_holding,2020,0.06609890,0.16010533,0.58142193,13503900.57,15736966.90,2233066.34,1334596.34
V2_trend_holding,2021,-0.02569014,0.04910118,0.50495630,13156983.48,16509670.48,3352687.00,1119620.66
V2_trend_holding,2022,-0.06198191,-0.09368012,0.37575221,12341488.51,14963042.57,2621554.06,-731132.94
V2_trend_holding,2023,0.17670918,0.28242242,0.78452038,14522342.88,19188941.29,4666598.41,2045044.35
V2_trend_holding,2024,0.08107921,0.19215677,0.44168567,15699802.97,22876226.27,7176423.30,2509824.89
V2_trend_holding,2025,0.27778006,0.26181381,0.53728768,20060895.22,28865538.30,8804643.09,1628219.79
V2_trend_holding,2026,0.09360170,0.18626929,0.46602225,21938629.16,34242301.59,12303672.43,3499029.34
