model,split,sample_count,accuracy,balanced_accuracy,label_counts,pred_counts
logistic_balanced,train,1169,0.59281437,0.58681182,"{np.int64(0): 632, np.int64(1): 261, np.int64(-1): 276}","{np.int64(0): 495, np.int64(-1): 341, np.int64(1): 333}"
logistic_balanced,valid,490,0.37142857,0.38558484,"{np.int64(-1): 157, np.int64(0): 224, np.int64(1): 109}","{np.int64(1): 204, np.int64(-1): 105, np.int64(0): 181}"
logistic_balanced,test,544,0.38051471,0.34363523,"{np.int64(0): 249, np.int64(1): 138, np.int64(-1): 157}","{np.int64(0): 282, np.int64(-1): 154, np.int64(1): 108}"
logistic_balanced,all,2203,0.49114843,0.47214067,"{np.int64(0): 1105, np.int64(1): 508, np.int64(-1): 590}","{np.int64(0): 958, np.int64(-1): 600, np.int64(1): 645}"
rf_depth3_leaf25,train,1169,0.59623610,0.63441820,"{np.int64(0): 632, np.int64(1): 261, np.int64(-1): 276}","{np.int64(0): 378, np.int64(1): 410, np.int64(-1): 381}"
rf_depth3_leaf25,valid,490,0.41224490,0.44060776,"{np.int64(-1): 157, np.int64(0): 224, np.int64(1): 109}","{np.int64(-1): 125, np.int64(1): 216, np.int64(0): 149}"
rf_depth3_leaf25,test,544,0.38051471,0.35557220,"{np.int64(0): 249, np.int64(1): 138, np.int64(-1): 157}","{np.int64(0): 258, np.int64(-1): 154, np.int64(1): 132}"
rf_depth3_leaf25,all,2203,0.50204267,0.51144684,"{np.int64(0): 1105, np.int64(1): 508, np.int64(-1): 590}","{np.int64(0): 785, np.int64(1): 758, np.int64(-1): 660}"
rf_depth4_leaf20,train,1169,0.66381523,0.71087733,"{np.int64(0): 632, np.int64(1): 261, np.int64(-1): 276}","{np.int64(0): 395, np.int64(1): 388, np.int64(-1): 386}"
rf_depth4_leaf20,valid,490,0.41224490,0.44154272,"{np.int64(-1): 157, np.int64(0): 224, np.int64(1): 109}","{np.int64(-1): 126, np.int64(1): 212, np.int64(0): 152}"
rf_depth4_leaf20,test,544,0.38235294,0.35358808,"{np.int64(0): 249, np.int64(1): 138, np.int64(-1): 157}","{np.int64(0): 267, np.int64(-1): 156, np.int64(1): 121}"
rf_depth4_leaf20,all,2203,0.53835679,0.54941441,"{np.int64(0): 1105, np.int64(1): 508, np.int64(-1): 590}","{np.int64(0): 814, np.int64(1): 721, np.int64(-1): 668}"
hgb_l2_leaf20,train,1169,0.98460222,0.97803885,"{np.int64(0): 632, np.int64(1): 261, np.int64(-1): 276}","{np.int64(0): 648, np.int64(1): 249, np.int64(-1): 272}"
hgb_l2_leaf20,valid,490,0.48571429,0.43275458,"{np.int64(-1): 157, np.int64(0): 224, np.int64(1): 109}","{np.int64(-1): 127, np.int64(1): 52, np.int64(0): 311}"
hgb_l2_leaf20,test,544,0.48345588,0.40225038,"{np.int64(0): 249, np.int64(1): 138, np.int64(-1): 157}","{np.int64(0): 414, np.int64(-1): 99, np.int64(1): 31}"
hgb_l2_leaf20,all,2203,0.74988652,0.69919194,"{np.int64(0): 1105, np.int64(1): 508, np.int64(-1): 590}","{np.int64(0): 1373, np.int64(1): 332, np.int64(-1): 498}"
