"week_end","event_tag","event_summary","event_confidence"
"2020-11-13","vaccine_us_election_risk_on","Pfizer vaccine efficacy news and U.S. election transition period supported global risk-on; classify as broad risk-on, not panic.","medium"
"2021-12-03","omicron_risk","Omicron variant uncertainty drove global COVID risk repricing around early Dec 2021; low/mid-low volume down week needs panic-vs-accumulation review.","medium"
"2022-01-28","fed_tightening_growth_selloff","Global equities were under pressure from inflation/Fed tightening and growth-stock selloff; low-price high-volume down week may include panic selling.","medium"
"2022-03-04","russia_ukraine_invasion","Russia-Ukraine war shock and commodity/oil risk dominated markets; low-price high-volume down week more likely panic/liquidation first, later rebound possible.","high"
"2022-03-11","russia_ukraine_invasion","Continuation of Russia-Ukraine shock; data shows low-price extreme-volume down week followed by positive 4w return, possible panic capitulation rather than ordinary accumulation.","high"
"2022-05-13","fed_inflation_rate_hike_risk","2022 inflation/Fed tightening and global recession concerns; low-price extreme-volume up week may be rebound after risk-off selling.","medium"
"2022-09-30","fed_hikes_yen_intervention","Late Sep 2022 had strong dollar/Fed hike pressure and Japan yen intervention context; low-price extreme-volume down week may be macro panic/FX stress.","medium"
"2023-03-17","svb_credit_suisse_banking_stress","SVB collapse and Credit Suisse stress dominated global bank risk; extreme-volume down week likely event-risk/liquidity stress.","high"
"2023-08-04","boj_ycc_flexibility","BOJ July 28 2023 YCC flexibility shift lifted JGB yields and affected Japanese equities; high-price extreme-volume down week may be policy repricing/distribution risk.","high"
"2024-08-09","yen_carry_trade_unwind","BOJ hike plus yen carry trade unwind triggered historic Japan/global selloff and rebound; low/mid-low extreme-volume up week likely panic reversal/capitulation rebound.","high"
"2025-04-04","us_tariff_shock","Early Apr 2025 U.S. tariff shock hit Japan/global equities; low-price extreme-volume down week likely tariff-driven panic/risk-off.","high"
"2025-04-11","us_tariff_shock_rebound","Tariff-driven volatility continued; low-price extreme-volume up week followed by strong 4w return, possible panic capitulation plus policy-expectation rebound.","high"
